City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
600,Palauig,PH,79.79,overcast clouds,15.435,119.9045,Villa Raphael Resort
604,Vaitape,PF,78.24,clear sky,-16.5167,-151.75,Conrad Bora Bora Nui
606,Tortoli,IT,80.42,clear sky,39.9256,9.6572,Hotel La Bitta
611,Sola,VU,79.47,scattered clouds,-13.8833,167.55,Leumerus Bungalows
619,Sanjwal,PK,83.25,clear sky,33.7608,72.4336,لبیک یارسول اللہ ہوٹل
620,Naze,JP,77.92,broken clouds,28.3667,129.4833,Shishime Hotel
625,Pedernales,DO,85.84,overcast clouds,18.0384,-71.744,Hotel Costa Marina
626,Ransang,PH,80.2,overcast clouds,8.9603,117.5828,Black and Crystal Sand Campsite
630,Ahuimanu,US,78.51,broken clouds,21.4447,-157.8378,Paradise Bay Resort
631,Alcaniz,ES,82.09,broken clouds,41.05,-0.1333,Hotel Ciudad de Alcañiz
633,Ishigaki,JP,77.13,broken clouds,24.3448,124.1572,Hotel Peace Land Ishigakijima
636,Bud,US,76.86,scattered clouds,39.447,-86.1758,Ted McQuinn Trust
643,Tecoanapa,MX,80.13,overcast clouds,16.5167,-98.75,Hotel Manglares
645,Bubaque,GW,80.33,light rain,11.2833,-15.8333,"Casa Dora, Bubaque"
646,Bonfim,BR,85.95,few clouds,3.0833,-59.95,Dibbo areaمنطقة دبو
649,Arrecife,ES,78.78,scattered clouds,28.963,-13.5477,Hotel Lancelot
652,Peniche,PT,83.08,broken clouds,39.3558,-9.3811,Hotel Star inn Peniche
654,Misratah,LY,87.76,clear sky,32.3754,15.0925,Almasa Hotel
656,Wahiawa,US,75.52,clear sky,21.5028,-158.0236,The Inn At Schofield
657,Keokuk,US,78.1,overcast clouds,40.3973,-91.3849,Hampton Inn Keokuk
658,Cockburn Town,TC,82.22,broken clouds,21.4612,-71.1419,Osprey Beach Hotel
663,Takoradi,GH,77.49,light rain,4.8845,-1.7554,Raybow International Hotel
666,Genc,TR,77.02,clear sky,38.7507,40.5603,Genc Ogretmenevi
672,Palmer,US,78.51,broken clouds,42.1584,-72.3287,Wedgewood Motel
673,Caucaia,BR,85.95,few clouds,-3.7361,-38.6531,M.O.S. Logística - Filial Fortaleza
685,Hamilton,US,79.57,clear sky,39.1834,-84.5333,Six Acres Bed & Breakfast
687,Birao,CF,82.54,scattered clouds,10.2849,22.7882,Dibbo areaمنطقة دبو
692,Mazabuka,ZM,87.12,few clouds,-15.856,27.748,kachali king traders
694,Kutum,SD,89.47,broken clouds,14.2,24.6667,Dibbo areaمنطقة دبو
