City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
210,Port Blair,IN,2022-09-12 18:25:48,11.6667,92.75,81.09,80,97,7.72
211,Turayf,SA,2022-09-12 18:31:26,31.6725,38.6637,84.45,18,0,6.91
212,Nemuro,JP,2022-09-12 18:31:26,43.3236,145.575,64.58,92,100,6.89
213,Metro,ID,2022-09-12 18:31:26,-5.1131,105.3067,73.8,91,11,4.36
214,Tharad,IN,2022-09-12 18:31:27,24.3961,71.6267,84.99,74,100,4.47
215,Tarakan,ID,2022-09-12 18:31:27,3.3,117.6333,76.5,94,20,2.3
216,Airai,TL,2022-09-12 18:30:21,-8.9266,125.4092,57.42,66,83,2.66
217,Sorland,NO,2022-09-12 18:31:27,67.667,12.6934,51.66,78,100,16.13
218,Nortelandia,BR,2022-09-12 18:31:27,-14.4547,-56.8028,105.48,10,17,3.42
219,Butaritari,KI,2022-09-12 18:31:28,3.0707,172.7902,81.84,72,3,6.49
220,Gat,IL,2022-09-12 18:31:19,31.61,34.7642,79.48,100,0,2.37
221,Jian,CN,2022-09-12 18:31:28,27.1172,114.9793,73.08,62,0,4.79
222,Fortuna,US,2022-09-12 18:31:28,40.5982,-124.1573,71.91,71,20,6.91
223,Taxco,MX,2022-09-12 18:31:28,18.55,-99.6,70.75,69,84,4.32
224,Marang,MY,2022-09-12 18:31:29,5.2056,103.2059,78.71,84,99,2.51
225,Shingu,JP,2022-09-12 18:31:29,33.7333,135.9833,77.05,90,100,8.97
226,Dawlatabad,AF,2022-09-12 18:31:29,36.4141,64.9053,65.7,17,0,2.71
227,Salalah,OM,2022-09-12 18:32:30,17.0151,54.0924,80.69,94,20,2.3
228,Dekar,BW,2022-09-12 18:32:30,-21.5333,21.9333,70.3,18,0,9.1
229,Moffat,GB,2022-09-12 18:32:30,55.3323,-3.4454,56.61,87,2,8.86
230,Bailieborough,IE,2022-09-12 18:32:30,53.9167,-6.9667,52.47,91,2,6.69
231,Mahebourg,MU,2022-09-12 18:25:48,-20.4081,57.7,70.09,73,75,6.91
232,Caala,AO,2022-09-12 18:32:31,-12.8525,15.5606,72.54,20,92,0.92
233,Yarmouth,US,2022-09-12 18:32:31,41.7057,-70.2286,73.54,92,100,5.75
234,Lucea,JM,2022-09-12 18:32:31,18.451,-78.1736,87.66,69,33,11.81
235,Makakilo City,US,2022-09-12 18:32:32,21.3469,-158.0858,79.68,80,0,5.75
236,Tabuk,PH,2022-09-12 18:32:32,17.4189,121.4443,71.33,78,42,3.8
237,Bandarbeyla,SO,2022-09-12 18:32:32,9.4942,50.8122,77.54,82,79,29.04
238,Pochutla,MX,2022-09-12 18:32:32,15.7432,-96.4661,84.02,86,100,1.21
239,Ilulissat,GL,2022-09-12 18:32:04,69.2167,-51.1,46.42,81,100,9.22
240,Darhan,MN,2022-09-12 18:32:33,49.4867,105.9228,63.93,52,100,9.98
241,Sangar,RU,2022-09-12 18:32:33,63.9242,127.4739,40.69,94,100,15.12
242,Mapiripan,CO,2022-09-12 18:32:33,2.8892,-72.1256,88.59,55,87,2.15
243,Norman Wells,CA,2022-09-12 18:32:34,65.282,-126.8329,51.84,71,40,0.0
244,Sao Filipe,CV,2022-09-12 18:32:34,14.8961,-24.4956,80.04,76,27,16.96
245,Jacksonville,US,2022-09-12 18:32:34,30.3322,-81.6556,91.51,67,75,12.66
246,Flinders,AU,2022-09-12 18:32:34,-34.5833,150.8552,52.38,85,100,4.0
247,Saskylakh,RU,2022-09-12 18:32:35,71.9167,114.0833,35.4,91,99,8.61
248,Kongoussi,BF,2022-09-12 18:32:35,13.3258,-1.5347,74.14,86,98,6.91
249,Chandler,US,2022-09-12 18:29:11,33.3062,-111.8412,93.74,42,40,5.75
250,Pasighat,IN,2022-09-12 18:32:35,28.0667,95.3333,75.15,97,85,2.21
251,Chegutu,ZW,2022-09-12 18:32:35,-18.1302,30.1407,72.03,15,0,7.54
252,Sibolga,ID,2022-09-12 18:32:36,1.7427,98.7792,75.99,87,99,3.4
253,Pangnirtung,CA,2022-09-12 18:32:36,66.1451,-65.7125,50.0,87,75,5.75
254,Moussoro,TD,2022-09-12 18:32:36,13.6408,16.4901,89.8,47,100,12.93
255,Los Llanos De Aridane,ES,2022-09-12 18:32:37,28.6585,-17.9182,75.13,83,40,5.75
256,Kavieng,PG,2022-09-12 18:32:37,-2.5744,150.7967,80.82,75,17,13.0
257,Vila,PT,2022-09-12 18:32:37,42.0304,-8.1588,63.48,83,100,6.17
258,Zapolyarnyy,RU,2022-09-12 18:31:45,69.4154,30.8136,42.08,87,100,5.75
259,Ixtapa,MX,2022-09-12 18:32:37,20.7,-105.2,81.23,89,100,3.0
260,Tateyama,JP,2022-09-12 18:32:38,34.9833,139.8667,73.09,88,99,12.21
261,Qaqortoq,GL,2022-09-12 18:32:38,60.7167,-46.0333,48.09,78,88,6.2
262,Port Antonio,JM,2022-09-12 18:32:38,18.18,-76.4612,87.71,71,99,6.26
263,Kavaratti,IN,2022-09-12 18:32:38,10.5669,72.642,80.51,83,64,14.25
264,Yankton,US,2022-09-12 18:27:43,42.8711,-97.3973,77.11,35,0,5.75
265,Bridgetown,BB,2022-09-12 18:30:50,13.1,-59.6167,90.09,66,40,13.8
266,Hambantota,LK,2022-09-12 18:32:39,6.1241,81.1185,79.14,89,20,8.05
267,Mazagao,BR,2022-09-12 18:32:39,-0.115,-51.2894,95.05,37,10,4.03
268,Lac Du Bonnet,CA,2022-09-12 18:30:35,50.2536,-96.0612,83.34,19,54,11.1
269,Jambusar,IN,2022-09-12 18:32:39,22.05,72.8,81.91,82,100,8.81
270,Narsaq,GL,2022-09-12 18:32:40,60.9167,-46.05,53.82,67,100,3.53
271,Yenagoa,NG,2022-09-12 18:32:40,4.9247,6.2642,74.89,93,100,4.79
272,Villamontes,BO,2022-09-12 18:32:40,-21.25,-63.5,83.64,24,7,5.75
273,Floro,NO,2022-09-12 18:32:41,61.5996,5.0328,57.27,88,75,17.27
274,Lethem,GY,2022-09-12 18:33:41,3.3803,-59.7968,86.54,61,84,0.74
275,Zhigansk,RU,2022-09-12 18:33:41,66.7697,123.3711,40.1,97,100,17.11
276,Labuhan,ID,2022-09-12 18:33:41,-6.8844,112.2051,77.09,83,9,7.78
277,Nurlat,RU,2022-09-12 18:33:42,54.4277,50.8051,49.42,50,100,4.79
278,Katsuura,JP,2022-09-12 18:33:42,35.1333,140.3,77.23,90,89,12.62
279,Sitka,US,2022-09-12 18:32:19,57.0531,-135.33,57.09,67,75,11.5
280,Stornoway,GB,2022-09-12 18:33:42,58.2093,-6.3865,55.36,89,75,13.8
281,Lakshmipur,BD,2022-09-12 18:33:42,22.95,90.8333,77.05,94,100,16.15
282,Mecca,SA,2022-09-12 18:31:14,21.4267,39.8261,90.37,51,25,6.91
283,Plettenberg Bay,ZA,2022-09-12 18:33:43,-34.0527,23.3716,51.6,77,0,7.4
