City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
234,Hukuntsi,BW,-24.0,21.75,65.3,18,0,18.66,clear sky
235,Trairi,BR,-3.2778,-39.2689,88.75,50,83,16.28,broken clouds
236,Kysyl-Syr,RU,63.8986,122.7617,29.55,70,70,2.21,broken clouds
237,Airai,TL,-8.9266,125.4092,61.5,92,100,1.95,overcast clouds
238,Marathon,US,44.9,-89.7668,67.87,79,0,5.75,clear sky
239,Tasiilaq,GL,65.6145,-37.6368,44.76,96,100,3.74,overcast clouds
240,Atambua,ID,-9.1061,124.8925,74.77,82,89,4.23,overcast clouds
241,Medvedovskaya,RU,45.4531,39.0258,72.16,32,2,9.73,clear sky
242,Yerbogachen,RU,61.2767,108.0108,39.96,98,100,5.23,overcast clouds
243,Los Llanos De Aridane,ES,28.6585,-17.9182,73.15,96,40,11.5,scattered clouds
244,Paamiut,GL,61.994,-49.6678,43.86,76,15,7.65,few clouds
245,Aldan,RU,58.6031,125.3894,23.36,76,81,4.25,broken clouds
246,Belaya Gora,RU,68.5333,146.4167,36.75,64,94,8.05,overcast clouds
247,Praia,CV,14.9215,-23.5087,82.94,69,75,14.97,broken clouds
248,Kabalo,CD,-6.05,26.9167,87.89,45,100,2.26,overcast clouds
249,Puerto Del Rosario,ES,28.5004,-13.8627,78.55,73,75,8.05,broken clouds
250,Orchard Homes,US,46.8633,-114.0484,55.6,92,100,3.44,overcast clouds
251,Adrar,MR,20.5022,-10.0711,97.86,20,28,6.49,scattered clouds
252,Atasu,KZ,48.6814,71.6433,62.4,18,0,10.33,clear sky
253,Panaba,MX,21.2833,-88.2667,85.12,66,0,4.63,clear sky
254,Vannes,FR,47.8333,-2.5,68.61,37,1,8.19,clear sky
255,Qiongshan,CN,20.0058,110.3542,80.58,89,0,4.47,clear sky
256,Coahuayana,MX,18.7333,-103.6833,76.21,92,100,2.35,overcast clouds
257,Broome,US,42.2506,-75.833,76.01,77,100,8.05,overcast clouds
258,Asfi,MA,32.2994,-9.2372,73.85,70,3,11.54,clear sky
259,Bambous Virieux,MU,-20.3428,57.7575,72.21,78,75,10.36,light rain
260,Khash,IR,28.2211,61.2158,82.29,13,42,11.43,scattered clouds
261,Caravelas,BR,-17.7125,-39.2481,75.54,56,94,5.95,overcast clouds
262,Havelock,US,34.8791,-76.9013,84.15,73,40,4.61,scattered clouds
263,Baoding,CN,38.8511,115.4903,68.81,49,100,9.42,overcast clouds
264,Aljezur,PT,37.3191,-8.8033,78.62,61,4,9.42,clear sky
265,Victoria,HK,22.2855,114.1577,88.18,78,53,1.99,broken clouds
266,Lorengau,PG,-2.0226,147.2712,80.22,83,48,8.05,scattered clouds
